lang,yyyy,n_path,n_month,distance_mean_weighted,distance_mean,n_contrib,distance_ratio,contrib_ratio
es,2003,1004,12,5081.87249632015,5534.25821464296,1703,0.918257207962242,1
es,2004,5423,12,4319.51063033483,5051.25914170833,8655,0.855135424486255,1
es,2005,17991,12,2803.81271223604,3232.33364382271,36877,0.867426763816409,2
es,2006,48616,12,2679.4132487558,3168.00729045848,103944,0.845772437716844,2
es,2007,84863,12,2406.09178653899,2933.545002227,194518,0.820199378128647,2
es,2008,56095,8,2105.9009024768,2641.65297988037,114451,0.79719059184381,2
fi,2003,42,2,3031.03294237196,3033.55818719351,52,0.999167563413747,1
fi,2004,1811,12,2907.34327247224,3295.97379042391,3051,0.882089317857808,1
fi,2005,6255,12,3325.76111121102,3383.33163057659,10311,0.982984074382397,1
fi,2006,12158,12,2606.71298723647,2764.70601008403,20607,0.94285359012087,1
fi,2007,14803,12,2110.38555696072,2270.08915056459,24780,0.929648756937961,1
fi,2008,7722,8,2355.87290326628,2479.0670892426,11945,0.950306231521168,1
fr,2002,146,3,4752.68238787068,5067.30477521497,167,0.937911295787228,1
fr,2003,1756,12,3394.64443703119,3527.49283477936,2494,0.962339144550957,1
fr,2004,9692,12,2897.94507733244,2981.01821202353,16838,0.972132630939312,1
fr,2005,36908,12,2124.4457686719,2300.88345522653,67342,0.923317416988748,1
fr,2006,78957,12,1908.10174900767,2093.89699059105,149694,0.911268203537111,1
fr,2007,102419,12,1606.4010086914,1764.40137962717,182231,0.910451004652268,1
fr,2008,74642,8,1477.98184737128,1595.90161249642,132488,0.926110880394011,1
is,2004,118,12,1865.06121054377,2173.77002828056,147,0.857984601075313,1
is,2005,485,12,4198.90475536648,4517.96697814998,688,0.929379248603063,1
is,2006,851,12,3242.22053083797,3485.44075942173,1085,0.930218229093035,1
is,2007,788,12,2674.47320467502,2922.21745069781,1094,0.915220461788826,1
is,2008,484,8,2326.88446812001,2475.21366722109,637,0.940074183871325,1
it,2003,41,1,2219.92918902459,2211.63482144503,50,1.00375033323727,1
it,2004,3135,12,1478.36415521887,1739.56917323088,5129,0.849844994938102,1
it,2005,13699,12,1317.01079773627,1516.45066292494,24316,0.868482457052718,1
it,2006,35373,12,1363.98373248735,1649.2406978225,65671,0.827037396232228,1
it,2007,60106,12,1423.32467943847,1694.46359942681,117947,0.839985397101439,1
it,2008,51888,8,1341.85816545343,1524.71456461154,100961,0.880071717420304,1
ja,2002,8,3,5771.16769621208,5497.62115141633,14,1.04975725632263,1
ja,2003,1850,12,3414.65280095773,3276.89048574822,3452,1.04204056126033,1
ja,2004,13600,12,2190.05660472493,2848.25407685594,32026,0.76891195294713,2
ja,2005,32286,12,2168.91510612514,2913.34171980964,73940,0.744476726289032,2
ja,2006,44429,12,2128.93355046538,2905.97509155175,107149,0.732605574168416,2
ja,2007,41318,12,2217.55334649946,2887.0311869847,84358,0.768108552653198,2
ja,2008,21121,8,2733.81151449733,3252.666527241,38137,0.840483182521704,1
nl,2002,147,3,4219.33418348532,3882.58992142,191,1.08673186426605,1
nl,2003,2042,12,3106.91634506968,3207.44028644012,2687,0.968659138629824,1
nl,2004,5555,12,2449.38732986187,2689.55129455595,8497,0.910704820844945,1
nl,2005,16741,12,2041.91101000438,2252.79088481316,27630,0.906391722271963,1
nl,2006,32416,12,2013.30637986421,2156.49014399041,52736,0.933603330149591,1
nl,2007,31063,12,1816.95323230497,1929.86264960258,44388,0.941493547574042,1
nl,2008,17830,8,1873.65321420989,1976.71746624697,25071,0.947860908907355,1
no,2002,1,1,11.1401169900751,11.1401169900751,1,1,1
no,2003,23,1,3581.58756812021,3447.15951564107,34,1.03899676004815,1
no,2004,1240,12,2527.73479253383,2637.83857746124,1952,0.95825984733555,1
no,2005,3965,12,2624.29042995364,2714.95908774171,5894,0.966604042691673,1
no,2006,7318,12,3029.42481421224,3064.46117623461,12026,0.988566876848014,1
no,2007,8532,12,2942.86931124586,3062.81049630546,13338,0.960839501756874,1
no,2008,4891,8,2933.80586614242,3045.56142315307,7537,0.96330543322454,1
pl,2002,230,2,2505.11107960205,2455.00258114839,273,1.02041077220791,1
pl,2003,995,12,1953.3277789181,2310.59952877791,1476,0.845377035089773,1
pl,2004,3951,12,2095.74592466372,2493.25116188555,6941,0.840567511489212,1
pl,2005,12973,12,1519.16790944378,1941.31268153318,25123,0.782546739582414,1
pl,2006,34517,12,1667.7234223145,2101.75698418935,62317,0.793490129858065,1
pl,2007,42136,12,1560.28263615135,1896.05814682305,77131,0.82290864273635,1
pl,2008,21085,8,1588.7749539504,1931.24211292016,32833,0.822670002544671,1
pt,2003,12,1,4856.19830923837,4504.69986300563,13,1.07802927096639,1
pt,2004,2351,12,4019.68810217005,4679.63561595305,3691,0.858974593762554,1
pt,2005,9443,12,3540.70553689525,4058.1137794823,15722,0.872500311547929,1
pt,2006,28946,12,3406.05983327667,3892.18471923265,62710,0.875102308594487,2
