lang,yyyy,mm,n_path,distance_mean_weighted,distance_mean,n_contrib,flow_id
nl,2005,7,1170,1964.88199624346,2279.20001866701,1957,101
nl,2005,8,1895,1785.26847324532,2072.99114834775,3089,251
nl,2005,9,1249,1543.66526600143,1827.30495057448,1954,1253
nl,2005,10,1808,2016.12974465853,2179.68138037398,3082,1023
nl,2005,11,1812,2321.41634287991,2359.86053281182,3001,1092
nl,2005,12,2440,1637.79258952442,1921.30096957192,4514,1032
nl,2006,1,2975,1843.65222273014,2085.4331229166,5381,154
nl,2006,2,2255,2293.82296027504,2292.58143838144,3757,874
nl,2006,3,2552,2162.37844298264,2317.36009713745,4191,19
nl,2006,4,2379,2232.39133317717,2276.86438391574,3880,111
nl,2006,5,2719,2332.91121789716,2438.33329081623,4361,716
nl,2006,6,2667,2113.24699424364,2330.40159399916,4580,1350
nl,2006,7,2474,1636.21241412488,1786.19619424464,3592,1180
nl,2006,8,2411,1557.47781076396,1778.43022318033,3895,341
nl,2006,9,2829,2047.9448945125,2129.47354818438,4371,74
nl,2006,10,2981,1940.64317142174,2179.5907020461,4795,939
nl,2006,11,3081,2158.10406020859,2286.5025333955,4937,867
nl,2006,12,3093,1842.12857155886,1966.40081104309,4996,933
nl,2007,1,3156,1731.02728232628,1846.86229980838,4735,591
nl,2007,2,2492,1813.96696318236,1852.01295022574,3433,418
nl,2007,3,3204,2214.32928131471,2521.9562446242,4635,640
nl,2007,4,2510,1921.1045466491,2011.84734916174,3623,530
nl,2007,5,2822,1678.52160570505,1759.68810508211,4066,1195
nl,2007,6,2482,1748.50679204559,1929.8129479252,3551,1104
nl,2007,7,1979,1631.3999440865,1776.84348092228,2656,747
nl,2007,8,2180,1512.89904114374,1681.59216295478,3029,822
nl,2007,9,2570,1626.93364594128,1748.70225301222,3669,713
nl,2007,10,2833,1915.95825675614,1979.0632976694,4067,397
nl,2007,11,2495,1982.38431560987,2000.71999714861,3661,296
nl,2007,12,2340,1849.60546939222,1855.89653913323,3263,393
nl,2008,1,2758,1895.08234666673,2052.63119111755,3993,210
nl,2008,2,2433,1913.73126809321,2009.40965367717,3407,779
nl,2008,3,2856,2202.41206324133,2277.76488297932,4079,293
nl,2008,4,2691,1968.92004755885,2080.36244341034,3840,199
nl,2008,5,2604,1777.55071414091,1823.25778796016,3599,945
nl,2008,6,1999,1676.31612810067,1772.22572820433,2768,1292
nl,2008,7,1794,1653.74743238181,1785.82546655424,2444,453
nl,2008,8,695,1342.9489019317,1578.49880885056,941,1128
no,2002,12,1,11.1401169900751,11.1401169900751,1,182
no,2003,12,23,3581.58756812021,3447.15951564107,34,930
no,2004,1,61,3025.78305574282,3126.18560242488,89,1117
no,2004,2,67,3655.56252346945,3713.81286706868,77,1178
no,2004,3,61,2724.20137451937,3104.48081755116,92,837
no,2004,4,39,2265.61961163386,2452.01971811258,57,991
no,2004,5,60,2610.90349803217,2144.90645372926,111,369
no,2004,6,36,5853.01684472026,3215.7079293981,105,571
no,2004,7,83,2227.79416778594,2890.5230482441,123,872
no,2004,8,45,3170.37756549247,3583.1677361737,55,701
no,2004,9,82,1676.42725341992,1798.25134501508,104,917
no,2004,10,277,1798.20346913469,1737.19996829685,448,82
no,2004,11,241,1839.79205611627,2290.4871250538,413,1162
no,2004,12,188,3277.17356481252,3830.37617485008,278,1212
no,2005,1,164,2937.74159539758,2734.37052627612,251,1291
no,2005,2,221,2133.97040692436,2516.48637644155,298,876
