lang,yyyy,mm,n_path,distance_mean_weighted,distance_mean,n_contrib,distance_ratio,contrib_ratio
ca,2008,1,846,1508.00641130063,1596.39156809629,1280,0.944634412657882,1.5130023640661939
ca,2008,2,675,1594.93602737406,1863.58857640952,1176,0.8558412771809,1.7422222222222222
ca,2008,3,553,1851.69550341192,2312.64364437138,895,0.800683455022852,1.6184448462929476
ca,2008,4,427,1079.93273585535,1468.18024041165,748,0.735558691045014,1.7517564402810304
ca,2008,5,517,1251.86659411715,1513.20207227515,793,0.827296378358066,1.5338491295938104
ca,2008,6,349,1830.63051520216,1707.73491524979,566,1.07196409633307,1.6217765042979943
ca,2008,7,305,1089.19346198576,1475.35405229767,475,0.738259037069429,1.5573770491803279
ca,2008,8,152,1149.04828150451,1267.13289159056,206,0.906809608629271,1.3552631578947368
cs,2003,3,2,82.1232546849337,102.654068356167,5,0.8,2.5000000000000000
cs,2003,4,3,2863.16140223848,5633.03305395613,6,0.508280596760861,2.0000000000000000
cs,2003,5,9,2248.03241729036,3026.55158305523,13,0.742770230607146,1.4444444444444444
cs,2003,6,5,954.232264128687,886.40910575728,6,1.07651450998291,1.2000000000000000
cs,2003,7,1,1802.70266440411,1802.70266440411,1,1,1.00000000000000000000
cs,2003,8,5,2195.27142813576,2374.98414520113,6,0.924330982407402,1.2000000000000000
cs,2003,9,8,172.489232501276,311.004653147087,22,0.554619459084746,2.7500000000000000
cs,2003,10,6,6199.06376021419,6199.06376021419,6,1,1.00000000000000000000
cs,2003,11,7,786.848981071286,1079.57064853296,11,0.728853625411677,1.5714285714285714
cs,2003,12,11,2097.16045522953,2173.72677563824,17,0.964776474547388,1.5454545454545455
cs,2004,1,18,5000.63120674669,5794.75713613102,23,0.862957858158911,1.2777777777777778
cs,2004,2,23,3313.27111553193,2434.54599397722,29,1.36094003716857,1.2608695652173913
cs,2004,3,22,2214.09627898652,2906.60746108309,30,0.761745887131757,1.3636363636363636
cs,2004,4,13,5719.33637617606,3370.78308668049,20,1.69673818489709,1.5384615384615385
cs,2004,5,24,1872.93246396183,1889.40023126376,27,0.991284129730993,1.1250000000000000
cs,2004,6,15,2937.47971553606,2756.26480774172,17,1.0657465521039,1.1333333333333333
cs,2004,7,17,976.506840234767,1248.65438584466,27,0.782047339363808,1.5882352941176471
cs,2004,8,23,1677.19273563718,2107.48634245245,34,0.795826146937424,1.4782608695652174
cs,2004,9,21,1481.55882684674,1775.73497847275,27,0.834335553901731,1.2857142857142857
cs,2004,10,46,1304.78283094307,1607.62869430975,66,0.811619521075597,1.4347826086956522
cs,2004,11,32,1744.0925371627,2175.78470146349,50,0.801592425936988,1.5625000000000000
cs,2004,12,44,3753.10294890795,3266.83545501753,61,1.14884970503903,1.3863636363636364
cs,2005,1,66,1378.11947575953,2153.86255917676,129,0.639836311694032,1.9545454545454545
cs,2005,2,54,1437.32019033003,1915.36257337203,94,0.750416767202252,1.7407407407407407
cs,2005,3,94,1979.41971287638,2169.66069927961,134,0.912317632675747,1.4255319148936170
cs,2005,4,123,2503.84056500721,2990.62133896992,167,0.837230889909193,1.3577235772357724
cs,2005,5,95,2246.95325948484,2129.69044988339,144,1.05506096419218,1.5157894736842105
cs,2005,6,134,1715.26044130239,1745.90958875753,214,0.982445169181441,1.5970149253731343
cs,2005,7,85,2724.27023325526,2602.57107671238,133,1.04676112696089,1.5647058823529412
cs,2005,8,157,3254.13741587214,3037.7030733509,228,1.07124934112882,1.4522292993630573
cs,2005,9,139,1954.96769842528,2367.40090614226,203,0.825786495795065,1.4604316546762590
cs,2005,10,213,1910.69473822679,2221.31636950896,359,0.8601632637539,1.6854460093896714
cs,2005,11,208,1623.81388860975,2070.69346781741,349,0.784188444039142,1.6778846153846154
cs,2005,12,324,1738.60132045782,1873.64721341375,523,0.927923521573797,1.6141975308641975
cs,2006,1,377,1950.31299343601,2320.04554913743,677,0.840635647934206,1.7957559681697613
cs,2006,2,242,1761.58736017755,2070.10647623335,372,0.850964614816737,1.5371900826446281
cs,2006,3,392,1883.53122378643,2263.3531707253,709,0.832186177636095,1.8086734693877551
cs,2006,4,334,3398.94356384162,2689.25322298332,518,1.26389866703255,1.5508982035928144
cs,2006,5,367,2051.57338789103,2176.33618270767,542,0.94267301356842,1.4768392370572207
cs,2006,6,377,1735.38692766358,1776.79704005427,653,0.976693954651438,1.7320954907161804
cs,2006,7,352,1931.67597456868,2595.21055339631,595,0.744323412233634,1.6903409090909091
cs,2006,8,574,1348.91418185077,1637.08974420041,832,0.82397082177655,1.4494773519163763
cs,2006,9,519,1646.71903731092,2005.59943461259,828,0.821060780578557,1.5953757225433526
cs,2006,10,609,1396.09674480233,1466.24497755478,973,0.952157904152256,1.5977011494252874
cs,2006,11,726,1301.24839781896,1562.42379820229,1153,0.832839591483542,1.5881542699724518
cs,2006,12,780,1365.78169776491,1492.6973781796,1290,0.914975612424898,1.6538461538461538
cs,2007,1,798,1396.64841992856,1558.86502251502,1250,0.895939289006082,1.5664160401002506
cs,2007,2,735,1577.28565912162,1910.45775198214,1178,0.825606144645257,1.6027210884353741
cs,2007,3,936,1421.8394023981,1549.51008313887,1469,0.917605776090116,1.5694444444444444
cs,2007,4,744,1456.55547162303,1712.46158674302,1169,0.850562420143565,1.5712365591397849
cs,2007,5,959,2050.97444602034,2495.96935788165,1554,0.821714593387886,1.6204379562043796
cs,2007,6,638,1577.93127937046,1755.57654979243,986,0.898810866183549,1.5454545454545455
cs,2007,7,602,1312.3817247618,1598.83764633968,950,0.820834890750988,1.5780730897009967
cs,2007,8,631,1233.06083703963,1491.68357177095,978,0.826623595227858,1.5499207606973059
cs,2007,9,628,1360.2948988739,1718.28990302327,1021,0.791656225460271,1.6257961783439490
cs,2007,10,744,1834.66880890895,1939.59192342275,1046,0.945904541441561,1.4059139784946237
cs,2007,11,677,1484.67251938893,1648.54916633087,1076,0.900593412505446,1.5893648449039882
cs,2007,12,631,1767.34514642976,1946.1377356767,987,0.908129529596334,1.5641838351822504
cs,2008,1,836,1602.39075916203,1895.86959321591,1292,0.84520093834299,1.5454545454545455
cs,2008,2,743,1516.15438752407,1743.05145474105,1136,0.869827671122489,1.5289367429340511
cs,2008,3,859,1982.94110289661,2223.71783568403,1260,0.8917233432571,1.4668218859138533
cs,2008,4,736,1937.47342574996,2054.11253737314,1191,0.943216786081088,1.6182065217391304
cs,2008,5,780,1860.75173657021,1940.27139880609,1186,0.959016216862849,1.5205128205128205
cs,2008,6,599,1444.65953061787,1591.59543462368,918,0.907680117189734,1.5325542570951586
cs,2008,7,587,1271.24214257074,1543.89712484531,880,0.823398218775824,1.4991482112436116
cs,2008,8,203,1122.89735432376,1218.92426446154,294,0.921219953579151,1.4482758620689655
da,2002,10,4,2586.86197749439,2586.86197749439,4,1,1.00000000000000000000
da,2002,11,5,2831.98373368055,2831.98373368055,5,1,1.00000000000000000000
da,2002,12,20,4464.24003612157,4850.78663735181,22,0.920312594610167,1.1000000000000000
da,2003,1,8,1525.68855852145,1672.16109058133,9,0.912405250376348,1.1250000000000000
da,2003,2,68,4361.06723051792,4543.72214516747,75,0.959800597656743,1.1029411764705882
da,2003,3,72,5549.24524745355,5629.39450219085,80,0.985762366679737,1.1111111111111111
da,2003,4,19,3819.42232101636,4211.04971896044,23,0.907000053649152,1.2105263157894737
da,2003,5,46,4897.33379626426,5202.52755714674,53,0.941337406187645,1.1521739130434783
da,2003,6,24,2770.22513525631,2634.50456312855,25,1.0515165447148,1.0416666666666667
da,2003,7,33,2834.09274874449,3039.40939907464,39,0.932448504504641,1.1818181818181818
da,2003,8,47,2256.73216746468,2494.35261351329,64,0.904736625944027,1.3617021276595745
da,2003,9,133,4017.41888092445,4817.27016707558,175,0.833961713084343,1.3157894736842105
da,2003,10,79,5240.35542394972,5866.54336041821,100,0.893261176471753,1.2658227848101266
da,2003,11,113,3502.37028625343,4276.99293783276,180,0.818886151359453,1.5929203539823009
da,2003,12,99,3320.98115154593,2991.87373832569,126,1.11000043518027,1.2727272727272727
da,2004,1,107,2710.06700923341,3157.25311946837,170,0.858362287306805,1.5887850467289720
da,2004,2,135,4309.12140106163,4368.85415683266,171,0.986327592172512,1.2666666666666667
da,2004,3,114,3272.40031663959,3344.01644399168,151,0.978583799287004,1.3245614035087719
da,2004,4,139,2491.08557220145,2527.71356646189,196,0.985509436375058,1.4100719424460432
da,2004,5,93,2826.42867944203,2909.82021046536,109,0.971341345859304,1.1720430107526882
da,2004,6,80,3642.46104074229,3564.24927113166,93,1.02194340621575,1.1625000000000000
da,2004,7,83,3795.39925031692,4125.64680672747,100,0.919952537897323,1.2048192771084337
da,2004,8,114,3416.96871145499,3777.40884191065,148,0.904580058569105,1.2982456140350877
da,2004,9,118,2779.50599697724,2535.7503441603,161,1.09612762288618,1.3644067796610169
da,2004,10,161,2124.50447090434,2356.25228839295,200,0.90164558412093,1.2422360248447205
da,2004,11,169,3500.93977324104,3794.02554504275,205,0.922750712054467,1.2130177514792899
da,2004,12,143,5328.39499580795,5315.51912495723,177,1.00242231671978,1.2377622377622378
da,2005,1,145,3368.6929865578,3615.35875773062,220,0.931772809366323,1.5172413793103448
da,2005,2,145,3960.85048594433,4259.25256443572,173,0.929940271449734,1.1931034482758621
da,2005,3,126,3761.0869121251,4080.22994637236,162,0.92178307633593,1.2857142857142857
da,2005,4,239,3850.38291763523,4166.0482632706,300,0.924229071367608,1.2552301255230126
da,2005,5,263,2446.23472767536,2773.05504900048,381,0.882144308154675,1.4486692015209125
da,2005,6,356,2508.13779307602,2649.70705593771,484,0.946571730431694,1.3595505617977528
da,2005,7,232,2965.52190491277,3130.78385342637,278,0.947213874783235,1.1982758620689655
da,2005,8,279,3410.78173737719,3501.49418532597,391,0.974093217595808,1.4014336917562724
da,2005,9,232,2592.19712721684,2758.90911901403,346,0.939573220934233,1.4913793103448276
da,2005,10,284,2591.7527786938,2793.94472651024,442,0.927632087386002,1.5563380281690141
da,2005,11,287,3098.15673188754,3365.98277032214,430,0.92043154801741,1.4982578397212544
da,2005,12,325,2284.8856888844,2818.86531042468,557,0.810569302631977,1.7138461538461538
da,2006,1,457,2759.70777817422,3048.55831512312,686,0.905250119206845,1.5010940919037199
da,2006,2,330,2810.2351251615,3005.91577794335,444,0.934901485192064,1.3454545454545455
da,2006,3,442,3134.65406860515,3006.18642539446,674,1.0427344232964,1.5248868778280543
da,2006,4,393,2990.27380527562,3290.06219058916,611,0.90888063266067,1.5547073791348601
da,2006,5,426,2570.06246904122,2602.1668970092,790,0.987662425494353,1.8544600938967136
da,2006,6,383,2310.15676181728,2468.00958002836,575,0.93604043538224,1.5013054830287206
da,2006,7,270,2180.39696032396,2646.49868502701,369,0.823879857813609,1.3666666666666667
da,2006,8,328,2830.89052892338,3024.59485868692,522,0.935956933469221,1.5914634146341463
da,2006,9,418,2716.40914721491,2875.08302066304,667,0.944810681184596,1.5956937799043062
da,2006,10,615,2823.08142021636,2810.36081029365,1030,1.00452632625537,1.6747967479674797
da,2006,11,527,2861.9457631475,2801.50293102091,882,1.02157514506136,1.6736242884250474
da,2006,12,474,2559.00091561605,2904.80161939757,757,0.880955483681794,1.5970464135021097
da,2007,1,572,2745.59059913168,2930.54410535862,933,0.93688765649739,1.6311188811188811
da,2007,2,371,2879.42439148322,3048.90878300317,540,0.944411458793132,1.4555256064690027
da,2007,3,516,2123.83315077426,2409.59920727842,847,0.881405150017905,1.6414728682170543
da,2007,4,503,2188.06329167544,2460.14771291717,844,0.889403217614483,1.6779324055666004
da,2007,5,478,2317.89449559154,2514.52038797909,711,0.921803818601935,1.4874476987447699
da,2007,6,428,2257.06009965636,2434.25698919833,647,0.927206991567341,1.5116822429906542
da,2007,7,285,2786.86242793434,2189.04922885711,446,1.27309262450408,1.5649122807017544
da,2007,8,365,2527.26561367906,2631.67343250865,616,0.960326453297794,1.6876712328767123
da,2007,9,437,3324.98968898686,3281.94735226773,694,1.0131148772662,1.5881006864988558
da,2007,10,478,2453.56909711832,2949.02209192832,922,0.831994139289057,1.9288702928870293
da,2007,11,421,3706.59473644304,3903.9942501856,639,0.949436525493558,1.5178147268408551
da,2007,12,417,1986.42246054543,2792.97266150233,901,0.711221591219208,2.1606714628297362
da,2008,1,549,2697.45247143936,2856.00976558546,852,0.944482929975697,1.5519125683060109
da,2008,2,411,3126.91365202507,3250.17949888743,586,0.962074141780614,1.4257907542579075
da,2008,3,370,2584.75514999257,2764.88198848801,553,0.934851889069615,1.4945945945945946
da,2008,4,387,2382.09876863642,2242.57598697731,555,1.06221540873947,1.4341085271317829
da,2008,5,354,2747.6076400572,2862.72422397482,508,0.959787749391455,1.4350282485875706
da,2008,6,305,2646.77454664938,2834.97767946876,449,0.93361389255994,1.4721311475409836
da,2008,7,310,2749.4068714445,2911.82013650548,424,0.944222768767615,1.3677419354838710
da,2008,8,104,2858.68623352115,3007.06705532863,169,0.950655965072498,1.6250000000000000
de,2002,8,12,4240.66177007835,4857.4315440202,14,0.873025534512961,1.1666666666666667
de,2002,9,94,3037.21683053997,3370.15105856797,130,0.901210888698422,1.3829787234042553
de,2002,10,130,2355.58321660373,2839.21610126472,181,0.829659713311164,1.3923076923076923
de,2002,11,210,2092.58854572123,2351.29883197503,300,0.889971328724524,1.4285714285714286
de,2002,12,348,2723.52098831238,2670.53831269018,621,1.01983969874928,1.7844827586206897
de,2003,1,600,1737.22063367844,1911.07593364108,911,0.909027528994413,1.5183333333333333
de,2003,2,524,1496.7473306751,1837.04524342283,992,0.814758012103352,1.8931297709923664
de,2003,3,198,2041.34686625776,2044.81159930324,299,0.998305597910991,1.5101010101010101
de,2003,4,250,1914.72430750148,2073.78892156394,431,0.923297587132201,1.7240000000000000
de,2003,5,633,2272.70061784542,2451.98992168522,1069,0.926880081253932,1.6887835703001580
de,2003,6,640,2379.12021490895,2605.27079862526,1084,0.91319498002448,1.6937500000000000
de,2003,7,623,2410.34252306689,2530.76800637655,931,0.952415439500485,1.4943820224719101
de,2003,8,576,3120.8860980086,2618.80224673836,1021,1.19172270525412,1.7725694444444444
